/home/benjamin/Documents/test_rust/gzip_parser/test.pairs.gz.stats.tsv
         3717729 function calls (3631924 primitive calls) in 24.237 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3234    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
     1685    0.001    0.000    0.001    0.000 mimetypes.py:86(add_type)
      458    0.001    0.000    0.001    0.000 CodonTable.py:291(<genexpr>)
     5856    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      523    0.001    0.000    0.001    0.000 function_base.py:2285(__init__)
      371    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     2448    0.001    0.000    0.002    0.000 copy.py:231(_keep_alive)
     5964    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      371    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      129    0.001    0.000    0.014    0.000 _distn_infrastructure.py:740(_construct_argparser)
        1    0.001    0.001    0.001    0.001 {method 'write_csv' of 'builtins.PyDataFrame' objects}
     1618    0.001    0.000    0.002    0.000 _parser.py:231(__init__)
     3234    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
     1782    0.001    0.000    0.001    0.000 enum.py:785(__delattr__)
 1253/824    0.001    0.000    0.002    0.000 typing.py:1573(__hash__)
     5331    0.001    0.000    0.001    0.000 _docscrape.py:81(is_empty)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
      164    0.001    0.000    0.001    0.000 _metadata_requests.py:531(__init__)
     7014    0.001    0.000    0.001    0.000 _docscrape.py:44(__getitem__)
      371    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     2228    0.001    0.000    0.007    0.000 _parser.py:98(closegroup)
     4033    0.001    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
      129    0.001    0.000    0.051    0.000 _distn_infrastructure.py:821(_construct_doc)
     5593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:158(__init__)
      261    0.001    0.000    0.042    0.000 compute.py:290(_wrap_function)
        1    0.001    0.001    0.043    0.043 compute.py:306(_make_global_functions)
      430    0.001    0.000    0.002    0.000 docscrape.py:74(read_to_condition)
      363    0.001    0.000    0.010    0.000 typing.py:1449(__getitem__)
     3268    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      936    0.001    0.000    0.006    0.000 inspect.py:3066(replace)
     1240    0.001    0.000    0.002    0.000 <frozen os>:680(__getitem__)
      321    0.001    0.000    0.002    0.000 docscrape.py:174(_is_at_section)
     5292    0.001    0.000    0.001    0.000 typing.py:1252(__eq__)
     4678    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
2954/1579    0.001    0.000    0.002    0.000 typing.py:1258(__hash__)
     6318    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
